DDPG-mean,DDPG-mv,Ddpg-se,DDPG-lower,DDPG-upper,DTA-mean,DTA-mv,DTA-se,DTA-lower,DTA-upper,NRS-mean,NRS-mv,NRS-se,NRS-lower,NRS-upper,SRS-mean,SRS-mv,SRS-se,SRS-lower,SRS-upper
0.06,0.07,0.021908902,0.048091098,0.091908902,0.06,0.06,0.035777088,0.024222912,0.095777088,0.04,0.042,0.021908902,0.020091098,0.063908902,0.07,0.076,0.024698178,0.051301822,0.100698178
0.06,0.078,0.021908902,0.056091098,0.099908902,0.06,0.062,0.035777088,0.026222912,0.097777088,0.04,0.044,0.021908902,0.022091098,0.065908902,0.07,0.079,0.024698178,0.054301822,0.103698178
0.06,0.082,0.021908902,0.060091098,0.103908902,0.06,0.064,0.035777088,0.028222912,0.099777088,0.04,0.046,0.021908902,0.024091098,0.067908902,0.07,0.085,0.024698178,0.060301822,0.109698178
0.06,0.09,0.021908902,0.068091098,0.111908902,0.06,0.068,0.035777088,0.032222912,0.103777088,0.04,0.048,0.021908902,0.026091098,0.069908902,0.07,0.09,0.024698178,0.065301822,0.114698178
0.06,0.102,0.021908902,0.080091098,0.123908902,0.06,0.068,0.035777088,0.032222912,0.103777088,0.04,0.05,0.021908902,0.028091098,0.071908902,0.07,0.097,0.024698178,0.072301822,0.121698178
0.06,0.116,0.021908902,0.094091098,0.137908902,0.06,0.076,0.035777088,0.040222912,0.111777088,0.04,0.054,0.021908902,0.032091098,0.075908902,0.07,0.107,0.024698178,0.082301822,0.131698178
0.08,0.126,0.033466401,0.092533599,0.159466401,0.06,0.082,0.035777088,0.046222912,0.117777088,0.04,0.058,0.021908902,0.036091098,0.079908902,0.07,0.118,0.024698178,0.093301822,0.142698178
0.08,0.138,0.033466401,0.104533599,0.171466401,0.06,0.088,0.035777088,0.052222912,0.123777088,0.04,0.062,0.021908902,0.040091098,0.083908902,0.09,0.128,0.033015148,0.094984852,0.161015148
0.08,0.146,0.033466401,0.112533599,0.179466401,0.06,0.096,0.035777088,0.060222912,0.131777088,0.04,0.068,0.021908902,0.046091098,0.089908902,0.1,0.135,0.031622777,0.103377223,0.166622777
0.1,0.16,0.028284271,0.131715729,0.188284271,0.06,0.106,0.035777088,0.070222912,0.141777088,0.06,0.076,0.035777088,0.040222912,0.111777088,0.08,0.144,0.023664319,0.120335681,0.167664319
0.14,0.172,0.045607017,0.126392983,0.217607017,0.08,0.116,0.052153619,0.063846381,0.168153619,0.06,0.082,0.035777088,0.046222912,0.117777088,0.1,0.157,0.037416574,0.119583426,0.194416574
0.1,0.186,0.048989795,0.137010205,0.234989795,0.08,0.128,0.043817805,0.084182195,0.171817805,0.06,0.088,0.035777088,0.052222912,0.123777088,0.13,0.166,0.049091751,0.116908249,0.215091751
0.14,0.21,0.045607017,0.164392983,0.255607017,0.1,0.14,0.056568542,0.083431458,0.196568542,0.06,0.094,0.035777088,0.058222912,0.129777088,0.12,0.174,0.034058773,0.139941227,0.208058773
0.18,0.222,0.043817805,0.178182195,0.265817805,0.06,0.14,0.035777088,0.104222912,0.175777088,0.06,0.106,0.035777088,0.070222912,0.141777088,0.14,0.185,0.037947332,0.147052668,0.222947332
0.2,0.236,0.063245553,0.172754447,0.299245553,0.14,0.154,0.077974355,0.076025645,0.231974355,0.08,0.116,0.052153619,0.063846381,0.168153619,0.17,0.2,0.044833024,0.155166976,0.244833024
0.16,0.24,0.045607017,0.194392983,0.285607017,0.12,0.156,0.071554175,0.084445825,0.227554175,0.08,0.124,0.052153619,0.071846381,0.176153619,0.18,0.212,0.034058773,0.177941227,0.246058773
0.2,0.254,0.048989795,0.205010205,0.302989795,0.12,0.164,0.065726707,0.098273293,0.229726707,0.08,0.13,0.043817805,0.086182195,0.173817805,0.17,0.224,0.037549967,0.186450033,0.261549967
0.16,0.264,0.045607017,0.218392983,0.309607017,0.14,0.174,0.077974355,0.096025645,0.251974355,0.1,0.136,0.056568542,0.079431458,0.192568542,0.16,0.238,0.040496913,0.197503087,0.278496913
0.22,0.276,0.065726707,0.210273293,0.341726707,0.16,0.184,0.087635609,0.096364391,0.271635609,0.12,0.14,0.065726707,0.074273293,0.205726707,0.19,0.254,0.038600518,0.215399482,0.292600518
0.22,0.286,0.052153619,0.233846381,0.338153619,0.16,0.19,0.092086915,0.097913085,0.282086915,0.12,0.152,0.052153619,0.099846381,0.204153619,0.21,0.272,0.04347413,0.22852587,0.31547413
0.28,0.296,0.076941536,0.219058464,0.372941536,0.2,0.194,0.109544512,0.084455488,0.303544512,0.12,0.162,0.071554175,0.090445825,0.233554175,0.19,0.285,0.04110961,0.24389039,0.32610961
0.34,0.298,0.108074049,0.189925951,0.406074049,0.2,0.198,0.113137085,0.084862915,0.311137085,0.12,0.172,0.071554175,0.100445825,0.243554175,0.21,0.301,0.04347413,0.25752587,0.34447413
0.26,0.296,0.072663608,0.223336392,0.368663608,0.1,0.2,0.056568542,0.143431458,0.256568542,0.18,0.182,0.086717934,0.095282066,0.268717934,0.23,0.317,0.047010637,0.269989363,0.364010637
0.32,0.3,0.103537433,0.196462567,0.403537433,0.2,0.21,0.113137085,0.096862915,0.323137085,0.16,0.184,0.066932802,0.117067198,0.250932802,0.29,0.335,0.057358522,0.277641478,0.392358522
0.24,0.3,0.072663608,0.227336392,0.372663608,0.16,0.212,0.087635609,0.124364391,0.299635609,0.16,0.19,0.066932802,0.123067198,0.256932802,0.29,0.349,0.057358522,0.291641478,0.406358522
0.3,0.308,0.084852814,0.223147186,0.392852814,0.2,0.218,0.109544512,0.108455488,0.327544512,0.14,0.198,0.077974355,0.120025645,0.275974355,0.3,0.363,0.064807407,0.298192593,0.427807407
0.3,0.314,0.089442719,0.224557281,0.403442719,0.22,0.222,0.121326007,0.100673993,0.343326007,0.14,0.206,0.066932802,0.139067198,0.272932802,0.31,0.376,0.05375872,0.32224128,0.42975872
0.28,0.324,0.076941536,0.247058464,0.400941536,0.24,0.224,0.115238882,0.108761118,0.339238882,0.14,0.21,0.066932802,0.143067198,0.276932802,0.32,0.388,0.059665736,0.328334264,0.447665736
0.32,0.33,0.103537433,0.226462567,0.433537433,0.22,0.222,0.121326007,0.100673993,0.343326007,0.24,0.224,0.092086915,0.131913085,0.316086915,0.37,0.401,0.051088159,0.349911841,0.452088159
0.32,0.33,0.114542569,0.215457431,0.444542569,0.2,0.232,0.093808315,0.138191685,0.325808315,0.22,0.224,0.091214034,0.132785966,0.315214034,0.34,0.409,0.055136195,0.353863805,0.464136195
0.3,0.336,0.074833148,0.261166852,0.410833148,0.24,0.238,0.115238882,0.122761118,0.353238882,0.22,0.224,0.091214034,0.132785966,0.315214034,0.35,0.42,0.057008771,0.362991229,0.477008771
0.32,0.346,0.103537433,0.242462567,0.449537433,0.22,0.238,0.086717934,0.151282066,0.324717934,0.22,0.228,0.091214034,0.136785966,0.319214034,0.37,0.432,0.067896981,0.364103019,0.499896981
0.3,0.352,0.105830052,0.246169948,0.457830052,0.2,0.246,0.093808315,0.152191685,0.339808315,0.2,0.226,0.093808315,0.132191685,0.319808315,0.41,0.443,0.074094534,0.368905466,0.517094534
0.32,0.362,0.095498691,0.266501309,0.457498691,0.22,0.254,0.103537433,0.150462567,0.357537433,0.22,0.232,0.086717934,0.145282066,0.318717934,0.43,0.448,0.070781353,0.377218647,0.518781353
0.32,0.368,0.110995495,0.257004505,0.478995495,0.22,0.262,0.107331263,0.154668737,0.369331263,0.24,0.236,0.092086915,0.143913085,0.328086915,0.43,0.453,0.069354164,0.383645836,0.522354164
0.36,0.38,0.104307238,0.275692762,0.484307238,0.24,0.276,0.115238882,0.160761118,0.391238882,0.22,0.238,0.091214034,0.146785966,0.329214034,0.43,0.459,0.07218033,0.38681967,0.53118033
0.4,0.384,0.089442719,0.294557281,0.473442719,0.24,0.29,0.115238882,0.174761118,0.405238882,0.18,0.242,0.081975606,0.160024394,0.323975606,0.43,0.467,0.070781353,0.396218647,0.537781353
0.34,0.384,0.108074049,0.275925951,0.492074049,0.22,0.304,0.099599197,0.204400803,0.403599197,0.28,0.246,0.076941536,0.169058464,0.322941536,0.45,0.473,0.071063352,0.401936648,0.544063352
0.32,0.394,0.091214034,0.302785966,0.485214034,0.32,0.324,0.110995495,0.213004505,0.434995495,0.24,0.246,0.082945765,0.163054235,0.328945765,0.45,0.475,0.068190908,0.406809092,0.543190908
0.38,0.402,0.091214034,0.310785966,0.493214034,0.26,0.326,0.11171392,0.21428608,0.43771392,0.22,0.25,0.059329588,0.190670412,0.309329588,0.45,0.48,0.073824115,0.406175885,0.553824115
0.4,0.4,0.089442719,0.310557281,0.489442719,0.24,0.34,0.100399203,0.239600797,0.440399203,0.26,0.252,0.066932802,0.185067198,0.318932802,0.47,0.485,0.070781353,0.414218647,0.555781353
0.38,0.398,0.091214034,0.306785966,0.489214034,0.3,0.356,0.093808315,0.262191685,0.449808315,0.2,0.252,0.063245553,0.188754447,0.315245553,0.48,0.49,0.07183314,0.41816686,0.56183314
0.4,0.4,0.08,0.32,0.48,0.28,0.364,0.095498691,0.268501309,0.459498691,0.26,0.256,0.066932802,0.189067198,0.322932802,0.46,0.495,0.070992957,0.424007043,0.565992957
0.38,0.402,0.091214034,0.310785966,0.493214034,0.3,0.374,0.093808315,0.280191685,0.467808315,0.26,0.254,0.066932802,0.187067198,0.320932802,0.48,0.498,0.075894664,0.422105336,0.573894664
0.44,0.406,0.066932802,0.339067198,0.472932802,0.36,0.382,0.092086915,0.289913085,0.474086915,0.26,0.25,0.077974355,0.172025645,0.327974355,0.49,0.502,0.068483575,0.433516425,0.570483575
0.4,0.4,0.08,0.32,0.48,0.38,0.384,0.091214034,0.292785966,0.475214034,0.26,0.252,0.072663608,0.179336392,0.324663608,0.51,0.502,0.063953108,0.438046892,0.565953108
0.4,0.404,0.084852814,0.319147186,0.488852814,0.38,0.392,0.091214034,0.300785966,0.483214034,0.22,0.252,0.059329588,0.192670412,0.311329588,0.49,0.503,0.067007462,0.435992538,0.570007462
0.44,0.402,0.072663608,0.329336392,0.474663608,0.42,0.396,0.081975606,0.314024394,0.477975606,0.28,0.256,0.076941536,0.179058464,0.332941536,0.47,0.507,0.067896981,0.439103019,0.574896981
0.4,0.402,0.08,0.322,0.482,0.34,0.398,0.11171392,0.28628608,0.50971392,0.28,0.256,0.076941536,0.179058464,0.332941536,0.5,0.517,0.0678233,0.4491767,0.5848233
0.36,0.406,0.087635609,0.318364391,0.493635609,0.4,0.41,0.08,0.33,0.49,0.24,0.258,0.082945765,0.175054235,0.340945765,0.5,0.522,0.076157731,0.445842269,0.598157731
0.38,0.416,0.091214034,0.324785966,0.507214034,0.4,0.418,0.08,0.338,0.498,0.26,0.262,0.077974355,0.184025645,0.339974355,0.52,0.528,0.068992753,0.459007247,0.596992753
0.4,0.428,0.063245553,0.364754447,0.491245553,0.38,0.424,0.099599197,0.324400803,0.523599197,0.24,0.264,0.077974355,0.186025645,0.341974355,0.53,0.53,0.056656862,0.473343138,0.586656862
0.42,0.438,0.076941536,0.361058464,0.514941536,0.38,0.436,0.103537433,0.332462567,0.539537433,0.24,0.268,0.072663608,0.195336392,0.340663608,0.49,0.533,0.067007462,0.465992538,0.600007462
0.42,0.446,0.086717934,0.359282066,0.532717934,0.38,0.448,0.103537433,0.344462567,0.551537433,0.22,0.268,0.091214034,0.176785966,0.359214034,0.52,0.543,0.07183314,0.47116686,0.61483314
0.38,0.452,0.076941536,0.375058464,0.528941536,0.38,0.456,0.107331263,0.348668737,0.563331263,0.28,0.274,0.076941536,0.197058464,0.350941536,0.49,0.548,0.065498092,0.482501908,0.613498092
0.44,0.464,0.072663608,0.391336392,0.536663608,0.46,0.47,0.082945765,0.387054235,0.552945765,0.26,0.278,0.072663608,0.205336392,0.350663608,0.52,0.552,0.074565408,0.477434592,0.626565408
0.38,0.47,0.091214034,0.378785966,0.561214034,0.42,0.472,0.081975606,0.390024394,0.553975606,0.26,0.282,0.082945765,0.199054235,0.364945765,0.53,0.557,0.070781353,0.486218647,0.627781353
0.44,0.478,0.077974355,0.400025645,0.555974355,0.44,0.48,0.096332757,0.383667243,0.576332757,0.28,0.284,0.076941536,0.207058464,0.360941536,0.57,0.563,0.074899933,0.488100067,0.637899933
0.44,0.476,0.066932802,0.409067198,0.542932802,0.46,0.486,0.104307238,0.381692762,0.590307238,0.3,0.29,0.074833148,0.215166852,0.364833148,0.55,0.563,0.068190908,0.494809092,0.631190908
0.46,0.476,0.045607017,0.430392983,0.521607017,0.48,0.492,0.052153619,0.439846381,0.544153619,0.28,0.292,0.076941536,0.215058464,0.368941536,0.56,0.565,0.075099933,0.489900067,0.640099933
0.5,0.482,0.048989795,0.433010205,0.530989795,0.46,0.492,0.082945765,0.409054235,0.574945765,0.28,0.292,0.076941536,0.215058464,0.368941536,0.54,0.567,0.077717437,0.489282563,0.644717437
0.5,0.482,0.048989795,0.433010205,0.530989795,0.5,0.496,0.048989795,0.447010205,0.544989795,0.28,0.298,0.076941536,0.221058464,0.374941536,0.56,0.573,0.073756356,0.499243644,0.646756356
0.5,0.482,0.056568542,0.425431458,0.538568542,0.5,0.5,0.069282032,0.430717968,0.569282032,0.24,0.302,0.082945765,0.219054235,0.384945765,0.59,0.576,0.062369865,0.513630135,0.638369865
0.48,0.482,0.059329588,0.422670412,0.541329588,0.46,0.506,0.077974355,0.428025645,0.583974355,0.28,0.316,0.076941536,0.239058464,0.392941536,0.57,0.577,0.070781353,0.506218647,0.647781353
0.5,0.486,0.048989795,0.437010205,0.534989795,0.52,0.518,0.052153619,0.465846381,0.570153619,0.32,0.324,0.059329588,0.264670412,0.383329588,0.53,0.579,0.076223356,0.502776644,0.655223356
0.5,0.486,0.048989795,0.437010205,0.534989795,0.48,0.518,0.071554175,0.446445825,0.589554175,0.3,0.326,0.074833148,0.251166852,0.400833148,0.57,0.586,0.078803553,0.507196447,0.664803553
0.46,0.486,0.072663608,0.413336392,0.558663608,0.5,0.524,0.069282032,0.454717968,0.593282032,0.28,0.33,0.076941536,0.253058464,0.406941536,0.59,0.587,0.074094534,0.512905466,0.661094534
0.42,0.49,0.065726707,0.424273293,0.555726707,0.5,0.524,0.069282032,0.454717968,0.593282032,0.34,0.338,0.082945765,0.255054235,0.420945765,0.57,0.586,0.073552702,0.512447298,0.659552702
0.44,0.502,0.066932802,0.435067198,0.568932802,0.52,0.532,0.076941536,0.455058464,0.608941536,0.32,0.344,0.071554175,0.272445825,0.415554175,0.57,0.588,0.067896981,0.520103019,0.655896981
0.52,0.506,0.043817805,0.462182195,0.549817805,0.48,0.538,0.086717934,0.451282066,0.624717934,0.28,0.348,0.071554175,0.276445825,0.419554175,0.58,0.593,0.07183314,0.52116686,0.66483314
0.5,0.506,0.048989795,0.457010205,0.554989795,0.5,0.548,0.069282032,0.478717968,0.617282032,0.34,0.356,0.066932802,0.289067198,0.422932802,0.6,0.596,0.069282032,0.526717968,0.665282032
0.5,0.51,0.04,0.47,0.55,0.54,0.558,0.053665631,0.504334369,0.611665631,0.32,0.36,0.052153619,0.307846381,0.412153619,0.59,0.596,0.071344236,0.524655764,0.667344236
0.5,0.512,0.048989795,0.463010205,0.560989795,0.56,0.562,0.082945765,0.479054235,0.644945765,0.38,0.366,0.043817805,0.322182195,0.409817805,0.6,0.596,0.069282032,0.526717968,0.665282032
0.52,0.516,0.043817805,0.472182195,0.559817805,0.58,0.562,0.065726707,0.496273293,0.627726707,0.36,0.366,0.053665631,0.312334369,0.419665631,0.59,0.596,0.074094534,0.521905466,0.670094534
0.5,0.52,0.056568542,0.463431458,0.576568542,0.52,0.564,0.052153619,0.511846381,0.616153619,0.34,0.37,0.066932802,0.303067198,0.436932802,0.6,0.601,0.069282032,0.531717968,0.670282032
0.5,0.526,0.048989795,0.477010205,0.574989795,0.54,0.572,0.060663004,0.511336996,0.632663004,0.34,0.374,0.045607017,0.328392983,0.419607017,0.58,0.603,0.075894664,0.527105336,0.678894664
0.5,0.532,0.048989795,0.483010205,0.580989795,0.5,0.574,0.089442719,0.484557281,0.663442719,0.36,0.378,0.053665631,0.324334369,0.431665631,0.58,0.608,0.07183314,0.53616686,0.67983314
0.54,0.538,0.035777088,0.502222912,0.573777088,0.58,0.584,0.091214034,0.492785966,0.675214034,0.4,0.382,0.04,0.342,0.422,0.59,0.613,0.068483575,0.544516425,0.681483575
0.48,0.534,0.059329588,0.474670412,0.593329588,0.58,0.588,0.091214034,0.496785966,0.679214034,0.36,0.38,0.053665631,0.326334369,0.433665631,0.62,0.618,0.067527772,0.550472228,0.685527772
0.52,0.538,0.043817805,0.494182195,0.581817805,0.58,0.592,0.091214034,0.500785966,0.683214034,0.36,0.38,0.035777088,0.344222912,0.415777088,0.61,0.619,0.069928535,0.549071465,0.688928535
0.54,0.542,0.035777088,0.506222912,0.577777088,0.6,0.598,0.074833148,0.523166852,0.672833148,0.38,0.384,0.043817805,0.340182195,0.427817805,0.6,0.62,0.066332496,0.553667504,0.686332496
0.52,0.544,0.043817805,0.500182195,0.587817805,0.58,0.598,0.091214034,0.506785966,0.689214034,0.38,0.382,0.043817805,0.338182195,0.425817805,0.59,0.624,0.068483575,0.555516425,0.692483575
0.54,0.544,0.035777088,0.508222912,0.579777088,0.56,0.602,0.092086915,0.509913085,0.694086915,0.38,0.382,0.043817805,0.338182195,0.425817805,0.6,0.628,0.069282032,0.558717968,0.697282032
0.56,0.548,0.035777088,0.512222912,0.583777088,0.6,0.606,0.074833148,0.531166852,0.680833148,0.4,0.384,0.04,0.344,0.424,0.64,0.633,0.058651513,0.574348487,0.691651513
0.56,0.55,0.035777088,0.514222912,0.585777088,0.6,0.608,0.074833148,0.533166852,0.682833148,0.38,0.384,0.043817805,0.340182195,0.427817805,0.62,0.635,0.057965507,0.577034493,0.692965507
0.56,0.55,0.035777088,0.514222912,0.585777088,0.56,0.61,0.092086915,0.517913085,0.702086915,0.38,0.388,0.052153619,0.335846381,0.440153619,0.63,0.638,0.060083276,0.577916724,0.698083276
0.56,0.554,0.035777088,0.518222912,0.589777088,0.6,0.614,0.074833148,0.539166852,0.688833148,0.4,0.39,0.04,0.35,0.43,0.63,0.641,0.060083276,0.580916724,0.701083276
0.5,0.556,0.063245553,0.492754447,0.619245553,0.62,0.62,0.059329588,0.560670412,0.679329588,0.38,0.388,0.043817805,0.344182195,0.431817805,0.64,0.643,0.055136195,0.587863805,0.698136195
0.52,0.564,0.059329588,0.504670412,0.623329588,0.62,0.622,0.059329588,0.562670412,0.681329588,0.36,0.39,0.053665631,0.336334369,0.443665631,0.63,0.644,0.054863467,0.589136533,0.698863467
0.56,0.568,0.035777088,0.532222912,0.603777088,0.64,0.626,0.045607017,0.580392983,0.671607017,0.4,0.392,0.04,0.352,0.432,0.62,0.647,0.056213877,0.590786123,0.703213877
0.56,0.57,0.035777088,0.534222912,0.605777088,0.6,0.628,0.074833148,0.553166852,0.702833148,0.36,0.388,0.053665631,0.334334369,0.441665631,0.64,0.651,0.056920998,0.594079002,0.707920998
0.52,0.572,0.033466401,0.538533599,0.605466401,0.62,0.632,0.059329588,0.572670412,0.691329588,0.38,0.388,0.043817805,0.344182195,0.431817805,0.63,0.653,0.054863467,0.598136533,0.707863467
0.58,0.574,0.033466401,0.540533599,0.607466401,0.6,0.632,0.074833148,0.557166852,0.706833148,0.4,0.388,0.04,0.348,0.428,0.65,0.655,0.057008771,0.597991229,0.712008771
0.58,0.574,0.033466401,0.540533599,0.607466401,0.62,0.636,0.059329588,0.576670412,0.695329588,0.4,0.388,0.04,0.348,0.428,0.66,0.653,0.047328638,0.605671362,0.700328638
0.56,0.576,0.035777088,0.540222912,0.611777088,0.62,0.64,0.059329588,0.580670412,0.699329588,0.42,0.39,0.033466401,0.356533599,0.423466401,0.65,0.654,0.057008771,0.596991229,0.711008771
0.6,0.582,0.028284271,0.553715729,0.610284271,0.6,0.644,0.074833148,0.569166852,0.718833148,0.4,0.388,0.04,0.348,0.428,0.66,0.657,0.05138093,0.60561907,0.70838093
0.58,0.584,0.033466401,0.550533599,0.617466401,0.66,0.65,0.035777088,0.614222912,0.685777088,0.38,0.386,0.043817805,0.342182195,0.429817805,0.65,0.658,0.053385391,0.604614609,0.711385391
0.58,0.588,0.043817805,0.544182195,0.631817805,0.64,0.648,0.045607017,0.602392983,0.693607017,0.4,0.388,0.04,0.348,0.428,0.65,0.662,0.051478151,0.610521849,0.713478151
0.56,0.592,0.045607017,0.546392983,0.637607017,0.66,0.648,0.035777088,0.612222912,0.683777088,0.38,0.39,0.043817805,0.346182195,0.433817805,0.66,0.664,0.05329165,0.61070835,0.71729165
0.58,0.598,0.033466401,0.564533599,0.631466401,0.66,0.648,0.035777088,0.612222912,0.683777088,0.36,0.394,0.053665631,0.340334369,0.447665631,0.66,0.664,0.047328638,0.616671362,0.711328638
